transaction_id,timestamp,sender_account,receiver_account,amount,location,ip_address,device_hash,Velocity_Anomaly,Value_Anomaly,TimeGap_Anomaly,Location_Anomaly,Network_Anomaly,is_fraud
9919,5/1/2025 11:18,ACC51616996,ACC60645652,119103,Thai Nguyen,163.91.48.42,fff2f583d89fead8a03b7a2c90f45157,0.825210301,1,0.611426976,0.717568763,0.743401704,1
9530,5/1/2025 14:23,ACC27879460,ACC28935800,140919,Vinh Phuc,216.178.116.101,7f1253530451867caf2be3f38c8d5481,0.920864805,0.884502238,0.872537344,0.540688567,0.822352955,1
9662,5/1/2025 15:48,ACC24028274,ACC41779172,85297,Khanh Hoa,100.98.204.25,e24e64957df2551e602d2ff49b82adc5,0.77298184,0.773005081,0.65051721,0.436566204,0.646577945,1
9780,5/1/2025 19:39,ACC62624772,ACC58143728,62138,Khanh Hoa,59.174.69.88,3192cc0a0f9119a6911c051d28e7addd,0.863628233,0.920693047,0.656148162,0.877171343,0.474779218,1
9526,5/2/2025 23:08,ACC26126754,ACC35681275,77965,Da Nang,137.71.102.109,a73bea15e97ea0120b5add571b21ccf7,0.851938679,0.873527406,0.730273235,0.684918481,0.82301309,1
9620,5/3/2025 18:58,ACC50754687,ACC40851262,44920,Dong Nai,178.152.90.112,42d28ef860de04a9c6aae19126b27c58,0.722074505,0.55977628,0.82342606,0.850264335,0.587240366,1
9793,5/3/2025 23:53,ACC51702694,ACC36907325,103542,Dong Nai,95.144.202.211,6417af2c5002bdd8a460c69fed33aa36,0.656736359,0.746352232,0.906646806,0.709884758,0.878646581,1
9549,5/5/2025 1:38,ACC57067109,ACC13137928,97197,Da Nang,89.108.26.200,ef6001ffc0af9ce7c489b37bc31f3197,0.849200425,0.748560705,0.680299347,0.869640442,0.615418071,1
9778,5/6/2025 2:05,ACC84213958,ACC43313324,164022,Vinh Phuc,109.203.153.90,04dd665621f13b0b6b4970f9d81c7181,0.684287144,0.919843383,0.91760582,0.71979927,0.820131866,1
9591,5/6/2025 5:31,ACC75821913,ACC72670866,163860,Ho Chi Minh,77.56.129.27,ed68e4929aeadb9ffb059c394c2560ba,0.734690856,0.87018047,0.791944837,0.518169197,0.765227843,1
9735,5/6/2025 18:59,ACC59992768,ACC91508166,156225,Nghe An,107.68.95.190,bf462605d1c91d933a2d6a70ea5d4c1f,0.704538073,0.613339812,0.643488859,0.719320656,0.706646218,1
9543,5/7/2025 15:08,ACC99090202,ACC37751117,207356,Hue,200.140.190.11,934ecff3ba41c5646d03ebed3bf25e85,0.725361953,0.936605819,0.661564406,0.780693475,0.812036228,1
9601,5/8/2025 6:52,ACC34575478,ACC92044392,232678,Hai Phong,118.105.216.177,9189586ea4a2bf0ee538809759826a78,0.637386354,0.807007666,0.627667776,0.760662478,0.924776277,1
9840,5/9/2025 22:18,ACC37157615,ACC80703382,87631,Khanh Hoa,106.130.65.177,4540165779b5e01779bb8167a788d77b,0.753945753,0.851267725,0.539513975,0.557043929,0.772039091,1
9989,5/10/2025 1:17,ACC91483457,ACC88048707,116489,Nghe An,191.67.165.220,ff9fe2f713479cca02dfdfc5f1cab73a,0.920827385,0.927085679,0.847648648,0.659219205,0.819052743,1
9987,5/10/2025 2:26,ACC63847769,ACC49778037,135815,Nghe An,178.184.218.212,39266a6b71fec0e91529580b61320c80,0.699982809,0.7818256,0.809657087,0.89934942,0.87983383,1
9572,5/10/2025 14:00,ACC12763768,ACC16177560,86111,Da Nang,38.167.62.175,860fb476c0d55ca2c1fa601a1943c2ed,0.76974405,0.78779926,0.661181025,0.57398878,0.588900411,1
9544,5/10/2025 22:05,ACC98257373,ACC73205255,79489,Hai Phong,171.136.191.128,3510373023cfeb3772c4ac29d57a35c7,0.846664338,0.847626611,0.554208446,0.894004053,0.764412843,1
9685,5/10/2025 23:17,ACC55660250,ACC53333717,81799,Can Tho,136.53.204.185,0160a81fba40f379598c79f537cc661d,0.906551401,0.652297172,0.785470859,0.741443677,0.807900753,1
9973,5/13/2025 3:44,ACC84288634,ACC90401320,584933,Hue,192.56.218.73,8aca9814a6a8db25862aa26ec59a5d8e,0.673243695,0.875656738,0.85775558,0.8416129,0.782721482,1
9949,5/13/2025 18:59,ACC88074190,ACC78232496,129642,Ha Noi,160.13.38.55,e3be22baeecbb4ca45ca3a27ec917a98,0.722841243,0.895587079,0.762180202,0.621691318,0.853377678,1
9966,5/13/2025 20:41,ACC89875337,ACC71520113,65813,Nam Dinh,27.33.56.110,aeb328167c34755659d18d486dfd2fd3,0.768578307,0.928635665,0.741038477,0.945889514,0.778545044,1
9585,5/14/2025 1:45,ACC11500997,ACC73218227,102312,Nam Dinh,218.198.53.111,e4206e5b016f7989c1539b7e10d28dd7,0.865661236,0.640019682,0.879424432,0.950098243,0.792431541,1
9519,5/14/2025 4:34,ACC24287921,ACC67514932,232083,Ha Noi,45.173.53.186,eceec800d60905044bf37fac7c8dc80c,0.843492562,0.77777444,0.823378888,0.620691688,0.613675278,1
9846,5/16/2025 6:01,ACC87350185,ACC81342013,140560,Vinh Phuc,104.196.13.209,af500529e15b68d69caf6bebba8c06c2,0.895385811,0.751004278,0.620738565,0.486452689,0.84792833,1
9808,5/16/2025 18:28,ACC78204667,ACC98004206,94896,Khanh Hoa,109.210.75.76,8a0a00be4305279f65e5de6fa915d169,0.789235751,0.435219404,0.75188522,0.721129026,0.900526289,1
9955,5/17/2025 5:53,ACC86255636,ACC64387647,248591,Hai Phong,92.172.109.126,c70755d2d0d6bb9497ee7f90fb7f5d58,0.687602613,0.755502363,0.616415124,0.525476398,0.821590978,1
9968,5/18/2025 14:36,ACC82265298,ACC67679312,183799,Binh Duong,95.55.30.118,6cedca5112f88693b5951f93e70bb8fd,0.917525809,0.846339361,0.789665951,0.658964312,0.778800585,1
9940,5/20/2025 2:29,ACC82012019,ACC70312737,142551,Quang Nam,91.66.137.56,5ebedb3cd1bb42839b43e252ddd25d32,0.671027307,0.701203724,1,0.555772847,0.845938075,1
9776,5/20/2025 9:51,ACC98441916,ACC21627464,126108,Ho Chi Minh,200.119.168.151,72eb5540e909d55f3cf41bbd592988db,0.830882548,0.930845332,0.82369636,0.795023541,0.575491273,1
