transaction_id,timestamp,sender_account,receiver_account,amount,location,ip_address,device_hash,Velocity_Anomaly,Value_Anomaly,TimeGap_Anomaly,Location_Anomaly,Network_Anomaly,is_fraud
4947,2025-05-01 00:03:00,ACC72727011,ACC20053358,25651,Dong Nai,83.167.24.129,a5fb7a2d9c5ac9e8fcc603ffee44bbb2,0.23226462268077439,0.08928383384792064,0.35816271428846946,0.08479933876550448,0.25354986501707083,0
2926,2025-05-01 00:04:00,ACC70847404,ACC42997680,118585,Ha Noi,18.179.68.34,65595ccc7aae6007005d132b5ea91b08,0.16580479641620674,0.3959703083225779,0.177387603160595,0.08340843026036747,0.24907438951713134,0
2903,2025-05-01 00:32:00,ACC57391095,ACC30818005,101176,Hai Phong,190.129.196.105,48dda976dc0eda18d1c443e4f4fd20f3,0.3061607168178505,0.3454645293049099,0.17756063758156942,0.06599701292501346,0.3175731350024798,0
7566,2025-05-01 01:45:00,ACC51450856,ACC25950190,39665,Ha Noi,196.222.86.105,1036f563200232117579cfc6767286e7,0.2177766716436132,0.23227180853648982,0.383843732162879,0.2422745374661524,0.25407614827606795,0
5670,2025-05-01 01:48:00,ACC54501777,ACC96809814,49851,Nghe An,86.174.166.158,9909e368631a841bc3aa7adce3302433,0.37014411875844466,0.3646334301208423,0.17436680141106609,0.13829007872996493,0.16992918777028979,0
5700,2025-05-01 02:09:00,ACC90771158,ACC59898608,15432,Hai Phong,153.178.122.85,f846167639a67014c0625264a2c0de81,0.3057342390700177,0.1415378638857531,0.23135007510383082,0.1916696805481885,0.14413611021535006,0
4993,2025-05-01 02:13:00,ACC13065064,ACC23805217,96121,Da Nang,125.19.137.33,9d0fc9a9ce881d758e200e19a66694c3,0.12808680913008472,0.2345516826792918,0.2950583667153519,0.08826499453916732,0.14141767851871978,0
1,2025-05-01 02:50:00,ACC83943848,ACC63535885,55513,Hue,100.155.116.73,447506866073c2e39df2a621270eda26,0.05771538879883977,0.26518103511713914,0.6170656895722737,0.19500442298908777,0.4751896036418662,0
3382,2025-05-01 03:18:00,ACC65067486,ACC35928416,34761,Ha Noi,103.165.171.145,b4b2862b4c9d47700e2cf53a899bdd74,0.2511583995266784,0.19698736465877306,0.10517644693984748,0.28047152861085356,0.14343980642654292,0
7222,2025-05-01 03:34:00,ACC47962723,ACC87961799,111359,Quang Nam,193.84.196.168,0e33570b984a23d72df0f16a80fd7f3a,0.12858614968262405,0.25618183362457114,0.23738207504060327,0.229221396625212,0.1961217883585252,0
